DPT_CD,DPT_DSC,AGY_TYPE,OWNER_CD,OWNER_DSC,FPAP_CD,FPAP_DSC,AREA_CD,AREA_DSC,PS,MOOE,CO,NET
,,,,,,,,,,,,
ARF,Agrarian Reform Fund,SPF,ARF,Agrarian Reform Fund,C.01,        For the Requirements of the Comprehensive Agrarian Reform Program,0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DAR-AFM,Office of the Secretary,B.02,        Foreign-Assisted Projects,0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DAR-AFM,Office of the Secretary,B.02.a,            Second Agrarian Reform Communities Project (ARCP II) ADB Loan,140,Nationwide,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DAR-AFM,Office of the Secretary,B.02.a.$1,                  Peso Counterpart,140,Nationwide,10335,291442,1600,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DAR-AFM,Office of the Secretary,B.02.a.$2,                  Loan Proceeds,140,Nationwide,,168488,425213,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DAR-AFM,Office of the Secretary,B.02.b,            Agrarian Reform Infrastructure Support Project III (ARISP III) JBIC Loan No. PH-P242,140,Nationwide,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DAR-AFM,Office of the Secretary,B.02.b.$1,                  Peso Counterpart,140,Nationwide,548,229377,82216,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DAR-AFM,Office of the Secretary,B.02.b.$2,                  Loan Proceeds,140,Nationwide,,102664,983263,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DAR-AFM,Office of the Secretary,B.02.c,            Tulay ng Pangulo Para Sa Kaunlarang Pang-Agraryo (TPKP) French Loan,0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DAR-AFM,Office of the Secretary,B.02.c.$1,                  Peso Counterpart,0,CO,,149271,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DAR-AFM,Office of the Secretary,B.02.c.$2,                  Loan Proceeds,0,CO,,131599,1219130,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DAR-AFM,Office of the Secretary,C.01,        For the Requirements of the Program Beneficiaries Development Component of the Comprehensive Agrarian Reform Program,0,CO,111127,397914,984420,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DAR-AFM,Office of the Secretary,C.02,        Data Gathering for the Establishment of a Computer Database for CARP including Software Development,0,CO,,16000,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03,        Operations,140,Nationwide,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a,            Development of the Crops Sector,140,Nationwide,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.01,                  Ginintuang Masaganang Ani for Rice (GMA Rice - OSEC-Nationwide),140,Nationwide,,9712531,326331,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.02,                  Ginintuang Masaganang Ani for Corn (GMA Corn - OSEC-Nationwide),140,Nationwide,,1116505,271204,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.03,                  Technology generation and dissemination for the growth and development of the vegetable industry,140,Nationwide,6769,9264,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.04,"                  Agricultural intensification and diversification  program including P50,000,000 for  Region XI",140,Nationwide,6423,60658,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.05,                  Bohol Agricultural Promotion Center,70,Region VII,3376,6647,168,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06,                  Ginintuang Masaganang Ani - High Value Commercial Crops,0,CO,,,,
