DPT_CD,DPT_DSC,AGY_TYPE,OWNER_CD,OWNER_DSC,FPAP_CD,FPAP_DSC,AREA_CD,AREA_DSC,PS,MOOE,CO,NET
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.a,                      Office of the Secretary,0,CO,,1612087,611924,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.b,                      Promotion and development of organic fertilizer,140,Nationwide,,500000,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.c,                      Promotion and Development of Upland Agriculture,140,Nationwide,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d,                      Regional Field Offices,0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d.01,                            Region I,10,Region I,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d.02,                            Cordillera Administrative Region,11,Cordillera Administrative Region,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d.03,                            Region II,20,Region II,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d.04,                            Region III,30,Region III,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d.05,                            Region IV,40,Region IV,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d.06,                            Region V,50,Region V,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d.07,                            Region VI,60,Region VI,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d.08,                            Region VII,70,Region VII,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d.09,                            Region VIII,80,Region VIII,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d.10,                            Region IX,90,Region IX,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d.11,                            Region X,100,Region X,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d.12,                            Region XI,110,Region XI,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d.13,                            Region XII,120,Region XII,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.06.d.14,                            Region XIII,180,Region XIII,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.a.07,"                  Market Oriented Programs including Barangay Food Terminal/Bagsakan Centers, etc.",140,Nationwide,,500000,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b,            Development of the Livestock Sector,140,Nationwide,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.01,                  Breeder base expansion program through the production of genetically superior breeds/varieties/species,140,Nationwide,3655,5801,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02,                  Ginintuang Masaganang Ani - Livestock,140,Nationwide,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.a,                      Office of the Secretary,0,CO,,747269,296918,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b,                      Regional Field Offices,0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b.01,                            Region I,10,Region I,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b.02,                            Cordillera Administrative Region,11,Cordillera Administrative Region,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b.03,                            Region II,20,Region II,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b.04,                            Region III,30,Region III,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b.05,                            Region IV,40,Region IV,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b.06,                            Region V,50,Region V,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b.07,                            Region VI,60,Region VI,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b.08,                            Region VII,70,Region VII,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b.09,                            Region VIII,80,Region VIII,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b.10,                            Region IX,90,Region IX,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b.11,                            Region X,100,Region X,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b.12,                            Region XI,110,Region XI,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b.13,                            Region XII,120,Region XII,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.b.02.b.14,                            Region XIII,180,Region XIII,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.c,            Implementation of Various Agricultural Research Projects,0,CO,,204200,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.d,            For the implementation of the National Information Network,140,Nationwide,,30630,59942,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.e,            Agricultural Demonstration Projects - support to State Universities and Colleges (OSEC),140,Nationwide,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.f,            Salary Supplement of Extension Workers under the Local Government,140,Nationwide,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,A.03.i,            Credit under the Agriculture and Fisheries Modernization Program and Finance related activities,0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01,        Locally Funded Projects,0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a,            NATIONAL IRRIGATION ADMINISTRATION,0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.01,"                  Addalam Irrigation Project, Quirino and Isabela",20,Region II,,,100000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.02,"                  Construction/ Repair/ Rehabilitation of New/Existing NIA-Assisted Irrigation Systems,  Nationwide",140,Nationwide,,,227200,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.03,"                  Small Reservoir Irrigation Projects (SRIP), Nationwide",140,Nationwide,,,425000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.04,                  Repair and Establishment of Groundwater/Pump Projects,140,Nationwide,,,30000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.05,"                  Dolores Irrigation Project, Eastern Samar",80,Region VIII,,,95337,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.06,"                  Balog-Balog Multi-Purpose Irrigation Project, Tarlac",30,Region III,,,250000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.07,"                  BALIKATAN Sagip Patubig Program, Nationwide",140,Nationwide,,,200000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.08,                  Feasibility Studies and Detailed Engineering of Various Projects,140,Nationwide,,,30000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.09,                  Irrigation Management Transfer Support Services,140,Nationwide,,,8000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.10,                  Restoration/Rehabilitation of Existing NIA-assisted Irrigation Systems,140,Nationwide,,,6000000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.11,"                  Payment of R-O-W, Completion Works and Unpaid Claims of Completed Projects ",140,Nationwide,,,220875,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.12,"                  Balingasag Irrigation Project, Misamis Oriental",100,Region X,,,360255,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.13,"                  Talakag Irrigation Project, Bukidnon",100,Region X,,,335250,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.14,"                  Malaig Irrigation Project, Lanao del Sur",120,Region XII,,,272922,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.15,"                  San Roque Multi-Purpose Project - I.C. (Agno River Integrated Irrigation Project, Pangasinan)",10,Region I,,,300000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.16,"                  Libmanan - Cabusao Dam Project, Camarines Sur",50,Region V,,,300000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.17,"                  Sta. Josefa Pump Irrigation Project, Sta. Josefa, Agusan del Sur",180,Region XIII,,,300000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.18,"                  Banaoang Pump Irrigation Project II, Ilocos Sur",10,Region I,,,20000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.19,"                  Repair, Operation and Maintenance of NIS Pump Irrigation Systems and support to BRBWMP-PMO",140,Nationwide,,116000,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.20,"                  Basey Irrigation Project, Westen Samar",80,Region VIII,,,350000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.21,"                  Along Along Creek Irrigation Project, Brgy. San Jose, San Antonio, Nueva Ecija",30,Region III,,,100000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.22,                  Agricultural Production Improvement and Environmental Conservation in Lubang Island,42,Region IV-B,,,53500,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.23,                  Irrigation Facilities for Upland Municipalities of Western Pangasinan,10,Region I,,,15000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.24,"                  Repair/Rehabilitation of Irrigation Canal along Barangays Cayambanan and Nancalobasaan, Urdaneta, Pangasinan",10,Region I,,,5000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.a.25,"                  Rehabilitation of Dumanjug Communal Irrigation Project, Cebu",70,Region VII,,,12800,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.b,            Repair/Rehabilitation and Construction of Farm to Market Roads in the Designated Key Production Areas,140,Nationwide,,,3782000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.c,            Basilan Accelerated Peace and Development Strategy (BAPADS),90,Region IX,,3890,4573,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.d,            ZAMBAS Integrated Agricultural Development Program (ZIADP),90,Region IX,,6875,34015,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.e,            Davao Integrated Development Project (DIDP),110,Region XI,,2651,38581,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.f,            SOCSKSARGEN Integrated Food Security Program,120,Region XII,9395,5214,62257,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.g,            Metro Kutawato Development Alliance (MKDA),120,Region XII,,1363,7270,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.h,            CARAGA Integrated Development Project,180,Region XIII,,13232,63000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.i,            Household Enhancement and Livelihood Program for Muslim Communities,120,Region XII,,4813,623,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.j,            Pagkain Para sa Masa Program for the Uplands of Mindanao,0,CO,,4636,400,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.k,            Iranun Sustainable Integrated Area Development,120,Region XII,,7555,300,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.l,            Mindanao North Coast Integrated Area Development Program,100,Region X,,30000,20000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.m,"            Support to Poverty Eradication, Empowerment and Development Program for Basic Sectors (SPEED Program)",140,Nationwide,,11579,421,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.n,            Young Farmers Program,140,Nationwide,,49060,40,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.o,            Casecnan Social Measures Project,0,CO,,80000,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.p,            Implementation of 4-H Club Program,140,Nationwide,,100000,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.q,"            Agricultural Support For Various Indigenous Products and Industries (Pili, Abaca and Coconut)",11,Cordillera Administrative Region,,100000,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.r,"            Implementation of Various Projects under the Crops, Livestock and Fisheries Program",140,Nationwide,,107000,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.s,"            Productivity Enhancement and Livelihood Program for Widows and Orphans of Fallen Soldiers, Nationwide",140,Nationwide,,50000,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.t,            Purchase of Jatropha Expeller,30,Region III,,,6000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.01.z,            Agricultural Competitiveness Enhancement Fund (ACEF) per R.A. 8178,0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02,        Foreign-Assisted Projects,140,Nationwide,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.a,            Infrastructure for Rural Productivity Enhancement Project (ADB 1772 PHI),140,Nationwide,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.a.$1,                  Peso Counterpart,140,Nationwide,,30146,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.a.$2,                  Loan Proceeds,140,Nationwide,,16470,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.b,"            Mindanao Rural Development Project, APL 2 (IBRD)",0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.b.$1,                  Peso Counterpart,0,CO,,32988,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.b.$2,                  Loan Proceeds,0,CO,,70100,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.c,            Cordillera Highland Agricultural Resource Management Project Phase II,11,Cordillera Administrative Region,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.c.$1,                  Peso Counterpart,11,Cordillera Administrative Region,,9281,19414,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.c.$2,                  Loan Proceeds,11,Cordillera Administrative Region,,195201,112154,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.d,            Upgrading and Rehabilitation of the Navotas Port Complex,1,National Capital Region,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.d.$1,                  Peso Counterpart,1,National Capital Region,,2000,51751,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.d.$2,                  Loan Proceeds,1,National Capital Region,,,44438,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e,            NATIONAL IRRIGATION ADMINISTRATION,0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.01,                  Southern Philippines Irrigation Sector Project (ADB Loan No. 1668 PHI),0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.01.$1,                        Peso Counterpart,0,CO,,,214000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.01.$2,                        Loan Proceeds,0,CO,,,138000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.02,"                  Help for Catubig Agricultural Advancement Project, Northern Samar (JBIC Loan No. PH-221)",0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.02.$1,                        Peso Counterpart,0,CO,,,132000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.02.$2,                        Loan Proceeds,0,CO,,,268000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.03,"                  Bago RIS Rehabilitation and Improvement Project, Negros Occidental (JBIC Loan No. PHP-229)",0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.03.$1,                        Peso Counterpart,0,CO,,,9957,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.03.$2,                        Loan Proceeds,0,CO,,,201372,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.04,"                  Participatory Irrigation Development Project, Phase I -World Bank",0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.04.$1,                        Peso Counterpart,0,CO,,,453000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.04.$2,                        Loan Proceeds,0,CO,,,887000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.05,                  Rehabilitation Project of Angat-Maasim River Irrigation System (JICA Grant),0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.05.$1,                        Peso Counterpart,0,CO,,,10000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.05.$2,                        Loan Proceeds,0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.06,"                  Malitubog- Maridagao Irrigation Project, Stage II",140,Nationwide,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.06.$1,                        Peso Counterpart,140,Nationwide,,,100000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.06.$2,                        Loan Proceeds,140,Nationwide,,,20000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.07,                  Kabulnan 2 Multi-Purpose Irrigation and Power Project,0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,OSEC-DA-AFMF,Office of the Secretary,B.02.e.07.$1,                        Peso Counterpart,0,CO,,,50000,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,BFAR-AFMF,Bureau of Fisheries and Aquatic Resources,A.01,        General Administration and Support Services,0,CO,,,,
AFMF,Agriculture and Fisheries Modernization Program,SUBSPF,BFAR-AFMF,Bureau of Fisheries and Aquatic Resources,A.01.a,            General Administration and Support Services,0,CO,,,,
