DPT_CD,DPT_DSC,AGY_TYPE,OWNER_CD,OWNER_DSC,FPAP_CD,FPAP_DSC,AREA_CD,AREA_DSC,PS,MOOE,CO,NET

ARF,Agrarian Reform Fund,SPF,ARF,Agrarian Reform Fund,C.01,        For the Requirements of the Comprehensive Agrarian Reform Program,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.a,            Operational Requirements of the Congressional Oversight Committee for the Legislative Commission on Asian Political and Economic Ingtegration,0,CO,,56860,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.b,            Operational Requirements of the Congressional Oversight Committee on Dangerous Drugs,0,CO,,24000,6000
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.c,            Operational Requirements of the Congressional Oversight Committee on Anti-Money Laundering,0,CO,,8000,2000
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.d,            Operational Requirements of the Joint Congressional Power Commission,0,CO,4150,18500,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.e,            Operational Requirements for the Legislative Oversight Committee to Monitor and Oversee the Implementation of the RP-US Visiting Forces Agreement,0,CO,,18500,1500
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.f,            Operational Requirements for the Congressional Oversight Committee on Official Development Assistance,0,CO,,10000,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.g,            Operational Requirements of the Congressional Oversight Committee on Comprehensive Tax Reform Program,0,CO,2750,7250,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.h,            Operational Requirements of the Joint Congressional Oversight Committee on the Clean Air Act,0,CO,398,5232,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.i,            Operational Requirements of the Congressional Oversight Committee on Anti-Dumping,0,CO,,4500,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.j,            Operational Requirements of the Congressional Oversight Committee on the Optical Media Board,0,CO,,2500,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.k,            Operational Requirements of the Congressional Oversight Committee on Biofuels,0,CO,,5000,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.l,            Operational Requirements of the Congressional Oversight Committee on Absentee Voting,0,CO,,10000,
